"time","V1","V2","Va","D","y1 (% relative to rated power)","y2 (% relative to rated power)","out1","out2"
"11/02/2010 07:50",10,9.6,9.41962919622812,101.8,65.1090909090909,66.830303030303,0,0
"11/02/2010 08:00",9.3,9.3,9.12744054791128,96,55.9636363636364,59.5151515151515,0,0
"11/02/2010 08:10",9.4,9.2,9.02926332941221,94.3,55.1393939393939,58.6121212121212,0,0
"11/02/2010 08:20",9.4,8.8,8.63654132846124,97.5,54.3272727272727,50.9636363636364,0,0
"11/02/2010 08:30",9.8,9.2,9.02936141813739,96.4,60.8606060606061,57.3393939393939,0,0
"11/02/2010 08:40",9.8,9.5,9.32284293826041,96.8,64.3393939393939,63.2606060606061,0,0
"11/02/2010 08:50",10,9.5,9.32188904683881,94.8,67.0848484848485,64.3454545454545,0,0
"11/02/2010 09:00",9.6,9.1,8.93174234118447,93.3,61.030303030303,56.2060606060606,0,0
"11/02/2010 09:10",10,9.3,9.13043011752521,91.4,67.2242424242424,62.2181818181818,0,0
"11/02/2010 09:20",10,9.4,9.23009707219006,95,68.5272727272727,61.9818181818182,0,0
"11/02/2010 09:30",9.9,9.1,8.93752386180217,99.5,62.5575757575758,57.7515151515152,0,0
"11/02/2010 09:40",9.4,8.6,8.44776582482782,98.7,53.8545454545455,49.8484848484848,0,0
"11/02/2010 09:50",9,8.4,8.25216263774158,96.4,48.0606060606061,46.0181818181818,0,0
"11/02/2010 10:00",9.2,8.7,8.54736767819234,97.6,51.9939393939394,52.1818181818182,0,0
"11/02/2010 10:10",9.5,9.2,9.03915233360547,96.3,61.3151515151515,60.0363636363636,0,0
"11/02/2010 10:20",9.4,9,8.84425129953227,95.2,59.5272727272727,56.7939393939394,0,0
"11/02/2010 10:30",9.6,9.1,8.94395816742476,95.1,60.4666666666667,57.6848484848485,0,0
"11/02/2010 10:40",9.8,9.3,9.14111429053412,100,60.8909090909091,60.0242424242424,0,0
"11/02/2010 10:50",9.7,9.4,9.23929414034854,101.2,59.6969696969697,63.6666666666667,0,0
"11/02/2010 11:00",9.9,9.7,9.5340271251807,100.3,65.3575757575758,68.8969696969697,0,0
"11/02/2010 11:10",9.7,9.6,9.43730158476485,98.3,64,65.0242424242424,0,0
"11/02/2010 11:20",9.8,9.8,9.63497292546141,92.7,67.5515151515151,68.6363636363636,0,0
"11/02/2010 11:30",10,9.7,9.53546867646773,90.8,68.2727272727273,69.5818181818182,0,0
"11/02/2010 11:40",9.5,9.9,9.73378332484827,91.2,60.6181818181818,66.5090909090909,0,0
"11/02/2010 11:50",9.1,9.6,9.44142523644249,88.5,55.2545454545455,60.5757575757576,0,0
"11/02/2010 12:00",9,9.4,9.24583717391554,87,52.3757575757576,58.4666666666667,0,0
"11/02/2010 12:10",9,9,8.85289042172931,90.7,51.369696969697,54.3030303030303,0,0
"11/02/2010 12:20",9.2,8.8,8.65782874867049,92.7,55.6363636363636,52.8787878787879,0,0
"11/02/2010 12:30",9.8,9.4,9.24745236528683,88.1,60.7333333333333,60.8848484848485,0,0
"11/02/2010 12:40",9.5,9.5,9.3431913450521,84,62.7757575757576,61,0,0
"11/02/2010 12:50",10.2,9.3,9.14617056996024,82.7,73.6484848484849,61.9575757575758,0,0
"11/02/2010 13:00",9.6,9.6,9.44111642392322,85.2,61.9818181818182,62.8787878787879,0,0
"11/02/2010 13:10",9.3,9.4,9.24571360120782,87.8,55.0484848484848,58.6484848484848,0,0
"11/02/2010 13:20",9,8.7,8.56033523831104,84.4,52.8545454545455,52.4848484848485,0,0
"11/02/2010 13:30",8.8,8.4,8.26690518346614,83.1,49.6909090909091,46.5515151515152,0,0
"11/02/2010 13:40",8.5,8.3,8.16924270793686,84,45.4969696969697,45.8363636363636,0,0
"11/02/2010 13:50",8.2,8,7.87493310193239,88.3,40.7878787878788,40.4181818181818,0,0
"11/02/2010 14:00",8.7,8.4,8.26758637303085,89.5,46.2787878787879,46.6969696969697,0,0
